Nº,CLIENTE,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,ESTADO,OBSERVACIONES
364,SANTIAGO QUEIROLO S.A.C.,,33,128858,09/07/2017,,En Trámite ante INDECOPI
365,SANTIAGO QUEIROLO S.A.C.,LOS HÚSARES,33,129135,19/07/2017,,En Trámite ante INDECOPI
366,SANTIAGO QUEIROLO S.A.C.,,33,125404,09/03/2017,,En Trámite ante INDECOPI
367,SANTIAGO QUEIROLO S.A.C.,,33,131896,22/10/2017,,En Trámite ante INDECOPI
368,SANTIAGO QUEIROLO S.A.C.,VIÑA SAN GERÓNIMO,33,136076,06/03/2018,,En Trámite ante INDECOPI
369,SANTIAGO QUEIROLO S.A.C.,INTIPALKA,33,147981,28/01/2019,,En Trámite ante INDECOPI
370,SANTIAGO QUEIROLO S.A.C.,INTIWASI,33,147982,28/01/2019,,En Trámite ante INDECOPI
371,SANTIAGO QUEIROLO S.A.C.,TIERRAS LEJANAS,33,147983,28/01/2019,,En Trámite ante INDECOPI
372,SANTIAGO QUEIROLO S.A.C.,LEYENDAS,33,147984,28/01/2019,,En Trámite ante INDECOPI
373,SANTIAGO QUEIROLO S.A.C.,LA RES,33,156716,10/09/2019,,En Trámite ante INDECOPI
374,SANTIAGO QUEIROLO S.A.C.,PORTUS,33,160686,27/01/2020,,En Trámite ante INDECOPI
375,SANTIAGO QUEIROLO S.A.C.,PRIMA DONNA,33,61568,29/02/2020,,En Trámite ante INDECOPI
376,SANTIAGO QUEIROLO S.A.C.,,33,165790,09/07/2020,,En Trámite ante INDECOPI
377,SANTIAGO QUEIROLO S.A.C.,VINO COSECHA 130,33,166378,27/07/2020,,En Trámite ante INDECOPI
378,SANTIAGO QUEIROLO S.A.C.,,33,67470,09/11/2020,,En Trámite ante INDECOPI
379,SANTIAGO QUEIROLO S.A.C.,,33,74741,10/11/2020,,En Trámite ante INDECOPI
380,SANTIAGO QUEIROLO S.A.C.,EISHA,33,174894,08/04/2021,,En Trámite ante INDECOPI
381,SANTIAGO QUEIROLO S.A.C.,VALS,33,175042,11/04/2021,,En Trámite ante INDECOPI
382,SANTIAGO QUEIROLO S.A.C.,,32,179985,26/09/2021,,En Trámite ante INDECOPI
383,SANTIAGO QUEIROLO S.A.C.,,33,180605,11/10/2021,,En Trámite ante INDECOPI
384,SANTIAGO QUEIROLO S.A.C.,,33,180606,11/10/2021,,En Trámite ante INDECOPI
385,SANTIAGO QUEIROLO S.A.C.,,33,180607,11/10/2021,,En Trámite ante INDECOPI
386,SANTIAGO QUEIROLO S.A.C.,LA SUCURSAL,43,69241,30/11/2021,,En Trámite ante INDECOPI
387,SANTIAGO QUEIROLO S.A.C.,DON SANTIAGO,30,188529,08/06/2022,,En Trámite ante INDECOPI
388,SANTIAGO QUEIROLO S.A.C.,INTIPASTA,30,188528,08/06/2022,,En Trámite ante INDECOPI
389,SANTIAGO QUEIROLO S.A.C.,,33,189699,16/07/2022,,En Trámite ante INDECOPI
390,SANTIAGO QUEIROLO S.A.C.,,43,72520,19/07/2022,,En Trámite ante INDECOPI
391,SANTIAGO QUEIROLO S.A.C.,,33,194113,12/12/2022,,En Trámite ante INDECOPI
392,SANTIAGO QUEIROLO S.A.C.,,29,5830,03/02/2022,,En Trámite ante INDECOPI
393,SANTIAGO QUEIROLO S.A.C.,,30,5830,03/02/2022,,En Trámite ante INDECOPI
394,SANTIAGO QUEIROLO S.A.C.,,31,5830,03/02/2022,,En Trámite ante INDECOPI
395,SANTIAGO QUEIROLO S.A.C.,,32,5830,03/02/2022,,En Trámite ante INDECOPI
396,SANTIAGO QUEIROLO S.A.C.,SANTIAGO QUEIROLO S.A. (NOMBRE COMERCIAL,33,10411,07/01/2016,,En Trámite ante INDECOPI
397,SANTIAGO QUEIROLO S.A.C.,DON SANTIAGO,33,29215,16/09/2016,,En Trámite ante INDECOPI
398,SANTIAGO QUEIROLO S.A.C.,,33,168178,16/09/2020,,En Trámite ante INDECOPI
399,SANTIAGO QUEIROLO S.A.C.,MASCO,33,26054,22/05/2016,,En Trámite ante INDECOPI
400,SANTIAGO QUEIROLO S.A.C.,,43,70978,16/03/2022,,En Trámite ante INDECOPI
401,SANTIAGO QUEIROLO S.A.C.,PISCO MOSTO VERDE,33,129,23/10/2013,"renovación en trámite, nueva fecha de vencimiento 23.10.2023",
402,SANTIAGO QUEIROLO S.A.C.,PISCO ACHOLADO,33,130,23/10/2013,"renovación en trámite, nueva fecha de vencimiento 23.10.2023",
403,SANTIAGO QUEIROLO S.A.C.,PISCO PURO DE UVAS AEROMÁTICAS,33,398,22/08/2017,,
404,SANTIAGO QUEIROLO S.A.C.,PISCO DE UVAS NO AEROMÁTICAS,33,513,30/09/2018,,
405,ENOTOURS PERU S.A.C.,,30,188739,11/06/2022,,
406,SAGA FALABELLA S.A.,AGM,28,60941,31/01/2020,,
407,SAGA FALABELLA S.A.,,8,718,20/01/2020,,
408,SAGA FALABELLA S.A.,,25,126752,25/04/2017,,
409,SAGA FALABELLA S.A.,,25,126386,18/04/2017,,
410,SAGA FALABELLA S.A.,,18,150542,31/03/2019,,
411,SAGA FALABELLA S.A.,,14,150541,31/03/2019,,
412,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,33,116648,26/06/2016,,
413,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,27,116771,28/06/2016,,
414,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,25,116649,26/06/2016,,
415,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,24,116650,26/06/2016,,
416,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,22,116651,26/06/2016,,
417,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,21,116652,26/06/2016,,
418,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,20,116653,26/06/2016,,
419,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,18,116654,26/06/2016,,
420,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,16,116655,26/06/2016,,
421,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,15,116656,26/06/2016,,
422,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,12,116657,26/06/2016,,
423,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,11,116658,26/06/2016,,
424,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,9,116659,26/06/2016,,
425,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,28,117376,20/07/2016,,
426,SAGA FALABELLA S.A.,ATREVETE.CAMBIA,8,116660,26/06/2016,,
427,SAGA FALABELLA S.A.,ATRIUM,25,115106,09/05/2016,,
428,SAGA FALABELLA S.A.,B.C. ETHIC,25,48053,21/08/2018,,
429,SAGA FALABELLA S.A.,,18,124611,12/02/2017,,
430,SAGA FALABELLA S.A.,,28,124610,12/02/2017,,
431,SAGA FALABELLA S.A.,,24,124609,12/02/2017,,
432,SAGA FALABELLA S.A.,,25,127743,27/04/2017,,
433,SAGA FALABELLA S.A.,,20,124608,12/02/2017,,
434,SAGA FALABELLA S.A.,,11,124607,12/02/2017,,
435,SAGA FALABELLA S.A.,BASEMENT,8,138656,26/05/2018,,
436,SAGA FALABELLA S.A.,BASEMENT,21,138657,26/05/2018,,
437,SAGA FALABELLA S.A.,BASEMENT,24,138658,26/05/2018,,
438,SAGA FALABELLA S.A.,BASEMENT,3,102056,04/01/2025,,
439,SAGA FALABELLA S.A.,BASEMENT,18,134056,14/12/2017,,
440,SAGA FALABELLA S.A.,BASEMENT,"09, 11, 14",9971,12/02/2025,,
441,SAGA FALABELLA S.A.,BSM,8,138659,26/05/2018,,
442,SAGA FALABELLA S.A.,BSM,21,138196,13/05/2018,,
443,SAGA FALABELLA S.A.,BSM,24,138197,13/05/2018,,
444,SAGA FALABELLA S.A.,BASEMENT HOME,24,86825,19/02/2023,,
445,SAGA FALABELLA S.A.,BASEMENT HOME,"20, 21",10122,27/02/2025,,
446,SAGA FALABELLA S.A.,BELISSIMO,21,91893,29/09/2023,,
447,SAGA FALABELLA S.A.,BELISSIMO,20,92039,02/10/2023,,
448,SAGA FALABELLA S.A.,BELISSIMO,27,91892,29/09/2023,,
449,SAGA FALABELLA S.A.,BETTER & BETTER,8,111930,30/01/2016,,
450,SAGA FALABELLA S.A.,BETTER & BETTER,11,113870,06/04/2016,,
451,SAGA FALABELLA S.A.,BETTER & BETTER,21,111931,31/01/2016,,
452,SAGA FALABELLA S.A.,BETTINA,25,168364,23/09/2020,,
453,SAGA FALABELLA S.A.,,12,3412,07/11/2021,,
454,SAGA FALABELLA S.A.,,28,3412,07/11/2021,,
455,SAGA FALABELLA S.A.,BTT,25,165644,30/06/2020,,
456,SAGA FALABELLA S.A.,BLU,18,120572,18/10/2016,,
457,SAGA FALABELLA S.A.,BLU,14,120573,18/10/2016,,
458,SAGA FALABELLA S.A.,BLU,25,123260,28/11/2016,,
459,SAGA FALABELLA S.A.,,27,173385,25/02/2021,,
460,SAGA FALABELLA S.A.,,28,173539,03/03/2021,,
461,SAGA FALABELLA S.A.,,22,173211,23/02/2021,,
462,SAGA FALABELLA S.A.,,25,174779,06/04/2021,,
463,SAGA FALABELLA S.A.,BSM SPORT,25,60311,13/01/2020,,
464,SAGA FALABELLA S.A.,CAMA PACK,24,85183,29/11/2022,,
465,SAGA FALABELLA S.A.,CASA JOVEN,21,51810,22/01/2019,,
466,SAGA FALABELLA S.A.,CASA JOVEN,11,65410,14/08/2020,,
467,SAGA FALABELLA S.A.,CASA JOVEN,20,67483,09/11/2020,,
468,SAGA FALABELLA S.A.,CASA JOVEN,24,67484,09/11/2020,,
469,SAGA FALABELLA S.A.,CMR.COM,25,65503,17/08/2020,,
470,SAGA FALABELLA S.A.,CONEXIÓN DIGITAL FALABELLA,35,68826,24/10/2021,,
471,SAGA FALABELLA S.A.,CONTIGO SIEMPRE FALABELLA,35,68598,05/10/2021,,
472,SAGA FALABELLA S.A.,COMMODORE,9,91332,01/09/2023,,
473,SAGA FALABELLA S.A.,COTLER,16,107349,19/07/2015,,
474,SAGA FALABELLA S.A.,COTLER,25,47012,19/05/2017,,
475,SAGA FALABELLA S.A.,DECO COMEDORES FALABELLA,35,68786,21/10/2021,,
476,SAGA FALABELLA S.A.,DECO DORMITORIOS FALABELLA,35,68599,05/10/2021,,
477,SAGA FALABELLA S.A.,DENIM ATTRACTION,9,115040,05/05/2016,,
478,SAGA FALABELLA S.A.,DENIM ATTRACTION,14,115303,17/05/2016,,
479,SAGA FALABELLA S.A.,DENIM ATTRACTION,18,115041,05/05/2016,,
480,SAGA FALABELLA S.A.,DENIM ATTRACTION,25,115042,05/05/2016,,
481,SAGA FALABELLA S.A.,,9,139366,10/06/2018,,
482,SAGA FALABELLA S.A.,,14,139367,10/06/2018,,
483,SAGA FALABELLA S.A.,,18,139368,10/06/2018,,
484,SAGA FALABELLA S.A.,,25,139369,10/06/2018,,
485,SAGA FALABELLA S.A.,DESCANSO PERFECTO FALABELLA,35,68593,05/10/2021,,
486,SAGA FALABELLA S.A.,,3,3853,27/02/2022,,
487,SAGA FALABELLA S.A.,,8,3853,27/02/2022,,
488,SAGA FALABELLA S.A.,,9,3853,27/02/2022,,
489,SAGA FALABELLA S.A.,,11,3853,27/02/2022,,
490,SAGA FALABELLA S.A.,,12,3853,27/02/2022,,
491,SAGA FALABELLA S.A.,,14,3853,27/02/2022,,
492,SAGA FALABELLA S.A.,,18,3853,27/02/2022,,
493,SAGA FALABELLA S.A.,,20,3853,27/02/2022,,
494,SAGA FALABELLA S.A.,,21,3853,27/02/2022,,
495,SAGA FALABELLA S.A.,,22,3853,27/02/2022,,
496,SAGA FALABELLA S.A.,,24,3853,27/02/2022,,
497,SAGA FALABELLA S.A.,,27,3853,27/02/2022,,
498,SAGA FALABELLA S.A.,,28,3853,27/02/2022,,
499,SAGA FALABELLA S.A.,,9,140270,08/07/2018,,
500,SAGA FALABELLA S.A.,,14,140271,08/07/2018,,
501,SAGA FALABELLA S.A.,,18,140272,08/07/2018,,
502,SAGA FALABELLA S.A.,,25,140273,08/07/2018,,
503,SAGA FALABELLA S.A.,,25,152680,20/05/2019,,
504,SAGA FALABELLA S.A.,,18,152679,20/05/2019,,
505,SAGA FALABELLA S.A.,,9,152677,20/05/2019,,
506,SAGA FALABELLA S.A.,,3,152676,20/05/2019,,
507,SAGA FALABELLA S.A.,,14,152678,20/05/2019,,
508,SAGA FALABELLA S.A.,,25,152451,18/05/2019,,
509,SAGA FALABELLA S.A.,,18,152675,20/05/2019,,
510,SAGA FALABELLA S.A.,,14,152674,20/05/2019,,
511,SAGA FALABELLA S.A.,,9,152673,20/05/2019,,
512,SAGA FALABELLA S.A.,,3,152672,20/05/2019,,
513,SAGA FALABELLA S.A.,,25,152450,18/05/2019,,
514,SAGA FALABELLA S.A.,,18,152449,18/05/2019,,
515,SAGA FALABELLA S.A.,,14,152671,20/05/2019,,
516,SAGA FALABELLA S.A.,,9,152670,20/05/2019,,
517,SAGA FALABELLA S.A.,,3,152669,20/05/2019,,
518,SAGA FALABELLA S.A.,DÍAS F FALABELLA,35,70433,21/02/2022,,
519,SAGA FALABELLA S.A.,DÍAS FANTÁSTICOS FALABELLA,35,68601,05/10/2021,,
520,SAGA FALABELLA S.A.,DIDJERIDOO,25,57209,31/08/2019,,
521,SAGA FALABELLA S.A.,DOLLHOUSE,25,52373,15/12/2018,,
522,SAGA FALABELLA S.A.,,18,70908,17/04/2021,,
523,SAGA FALABELLA S.A.,,25,84567,30/09/2022,,
524,SAGA FALABELLA S.A.,,9,116029,06/06/2016,,
525,SAGA FALABELLA S.A.,,14,116030,06/06/2016,,
526,SAGA FALABELLA S.A.,,25,150545,31/03/2019,,
527,SAGA FALABELLA S.A.,,18,150544,31/03/2019,,
528,SAGA FALABELLA S.A.,,14,150543,31/03/2019,,
529,SAGA FALABELLA S.A.,,25,150617,06/04/2019,,
530,SAGA FALABELLA S.A.,,18,150616,06/04/2019,,
531,SAGA FALABELLA S.A.,,14,150546,31/03/2019,,
532,SAGA FALABELLA S.A.,,25,150548,31/03/2019,,
533,SAGA FALABELLA S.A.,,18,150547,31/03/2019,,
534,SAGA FALABELLA S.A.,,14,150787,15/04/2019,,
535,SAGA FALABELLA S.A.,"WELCOME TO FREEDOM, DOO AUSTRALIA",25,151942,07/05/2019,,
536,SAGA FALABELLA S.A.,"WELCOME TO FREEDOM, DOO AUSTRALIA",35,61219,27/01/2020,,
537,SAGA FALABELLA S.A.,"BIENVENIDA LIBERTAD, DOO AUSTRALIA",25,151943,07/05/2019,,
538,SAGA FALABELLA S.A.,"BIENVENIDA LIBERTAD, DOO AUSTRALIA",35,56397,07/05/2019,,
539,SAGA FALABELLA S.A.,,25,193396,28/09/2022,,
540,SAGA FALABELLA S.A.,,14,225721,10/04/2025,,
541,SAGA FALABELLA S.A.,,14,225722,10/04/2025,,
542,SAGA FALABELLA S.A.,,29,98722,20/07/2024,,
543,SAGA FALABELLA S.A.,,30,98723,20/07/2024,,
544,SAGA FALABELLA S.A.,,25,105932,27/05/2015,,
545,SAGA FALABELLA S.A.,,16,105806,23/05/2015,,
546,SAGA FALABELLA S.A.,,25,124731,15/02/2017,,
547,SAGA FALABELLA S.A.,ELEVEN SPORT,25,68858,24/01/2021,,
548,SAGA FALABELLA S.A.,,25,123754,19/01/2017,,
549,SAGA FALABELLA S.A.,EMPORIO FALABELLA,29,114541,25/04/2016,,
550,SAGA FALABELLA S.A.,EMPORIO FALABELLA,30,95037,17/02/2024,,
551,SAGA FALABELLA S.A.,ENVISION,9,85035,25/11/2022,,
552,SAGA FALABELLA S.A.,,33,115920,02/06/2016,,
553,SAGA FALABELLA S.A.,,27,115921,02/06/2016,,
554,SAGA FALABELLA S.A.,,28,115922,02/06/2016,,
555,SAGA FALABELLA S.A.,,26,115923,02/06/2016,,
556,SAGA FALABELLA S.A.,,25,115924,02/06/2016,,
557,SAGA FALABELLA S.A.,,24,115925,02/06/2016,,
558,SAGA FALABELLA S.A.,,22,115926,02/06/2016,,
559,SAGA FALABELLA S.A.,,21,115927,02/06/2016,,
560,SAGA FALABELLA S.A.,,20,115928,02/06/2016,,
561,SAGA FALABELLA S.A.,,16,116505,21/06/2016,,
562,SAGA FALABELLA S.A.,,18,115929,02/06/2016,,
563,SAGA FALABELLA S.A.,,14,115930,02/06/2016,,
564,SAGA FALABELLA S.A.,,15,115931,02/06/2016,,
565,SAGA FALABELLA S.A.,,12,116506,21/06/2016,,
566,SAGA FALABELLA S.A.,,9,115932,02/06/2016,,
567,SAGA FALABELLA S.A.,,11,115933,02/06/2016,,
568,SAGA FALABELLA S.A.,,8,115934,02/06/2016,,
569,SAGA FALABELLA S.A.,,3,116507,20/06/2016,,
570,SAGA FALABELLA S.A.,,38,45224,12/02/2017,,
571,SAGA FALABELLA S.A.,,35,45223,12/02/2017,,
572,SAGA FALABELLA S.A.,,8,115637,25/05/2016,,
573,SAGA FALABELLA S.A.,,9,115638,25/05/2016,,
574,SAGA FALABELLA S.A.,,11,115639,25/05/2016,,
575,SAGA FALABELLA S.A.,,14,115640,26/05/2016,,
576,SAGA FALABELLA S.A.,,15,115641,25/05/2016,,
577,SAGA FALABELLA S.A.,,18,115642,25/05/2016,,
578,SAGA FALABELLA S.A.,,20,115643,25/05/2016,,
579,SAGA FALABELLA S.A.,,21,115644,25/05/2016,,
580,SAGA FALABELLA S.A.,,22,115645,26/05/2016,,
581,SAGA FALABELLA S.A.,,24,115646,25/05/2016,,
582,SAGA FALABELLA S.A.,,25,115647,25/05/2016,,
583,SAGA FALABELLA S.A.,,26,115648,25/05/2016,,
584,SAGA FALABELLA S.A.,,27,115649,25/05/2016,,
585,SAGA FALABELLA S.A.,,28,115650,25/05/2016,,
586,SAGA FALABELLA S.A.,,33,115651,25/05/2016,,
587,SAGA FALABELLA S.A.,,35,41883,25/05/2016,,
588,SAGA FALABELLA S.A.,,26,126426,20/04/2017,,
589,SAGA FALABELLA S.A.,,35,45998,27/04/2017,,
590,SAGA FALABELLA S.A.,,25,108322,31/08/2025,,
591,SAGA FALABELLA S.A.,,25,108532,01/09/2025,,
592,SAGA FALABELLA S.A.,FEDERATION,25,120079,23/08/2016,,
593,SAGA FALABELLA S.A.,,25,116622,23/06/2016,,
594,SAGA FALABELLA S.A.,,25,155373,18/05/2016,,
595,SAGA FALABELLA S.A.,,16,87508,24/03/2023,,
596,SAGA FALABELLA S.A.,,11,75224,26/09/2021,,
597,SAGA FALABELLA S.A.,,8,75225,26/09/2021,,
598,SAGA FALABELLA S.A.,,3,77213,28/12/2021,,
599,SAGA FALABELLA S.A.,,15,75226,26/09/2021,,
600,SAGA FALABELLA S.A.,,14,75227,26/09/2021,,
601,SAGA FALABELLA S.A.,,18,75228,26/09/2021,,
602,SAGA FALABELLA S.A.,,21,77430,28/12/2021,,
603,SAGA FALABELLA S.A.,,20,77214,28/12/2021,,
604,SAGA FALABELLA S.A.,,24,77215,28/12/2021,,
605,SAGA FALABELLA S.A.,,27,85840,14/01/2023,,
606,SAGA FALABELLA S.A.,,25,77216,28/12/2021,,
607,SAGA FALABELLA S.A.,,28,75229,26/09/2021,,
608,SAGA FALABELLA S.A.,,9,89049,30/05/2023,,
609,SAGA FALABELLA S.A.,,35,35044,20/04/2014,,
610,SAGA FALABELLA S.A.,,38,36186,19/07/2024,,
611,SAGA FALABELLA S.A.,FOOD COURT SAGA FALABELLA,43,26649,08/08/2021,,
612,SAGA FALABELLA S.A.,FOOD COURT SAN ISIDRO,42,21273,28/04/2020,,
613,SAGA FALABELLA S.A.,FOOD PLAZA SAN ISIDRO,42,21215,28/04/2020,,
614,SAGA FALABELLA S.A.,FREE PEOPLE,25,46847,24/06/2018,,
615,SAGA FALABELLA S.A.,FUNNY BANDS,28,2714,24/06/2021,,
616,SAGA FALABELLA S.A.,FUNNY BANDS,14,2714,24/06/2021,,
617,SAGA FALABELLA S.A.,,14,170386,30/11/2020,,
618,SAGA FALABELLA S.A.,GALLINI,25,49546,21/10/2018,,
619,SAGA FALABELLA S.A.,,3,124314,27/12/2016,,
620,SAGA FALABELLA S.A.,,9,124315,27/12/2016,,
621,SAGA FALABELLA S.A.,,14,124316,27/12/2016,,
622,SAGA FALABELLA S.A.,,18,124317,27/12/2016,,
623,SAGA FALABELLA S.A.,,25,112909,16/12/2025,,
624,SAGA FALABELLA S.A.,GASSOLLINNE BY CONECTION,25,164546,03/06/2019,,
625,SAGA FALABELLA S.A.,GIANNI MORELLI,25,58612,28/10/2019,,
626,SAGA FALABELLA S.A.,GIRL 6,25,50087,04/11/2018,,
627,SAGA FALABELLA S.A.,,25,170716,09/12/2020,,
628,SAGA FALABELLA S.A.,,30,113663,27/03/2016,,
