Nº,CLIENTE,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,ESTADO,OBSERVACIONES
629,SAGA FALABELLA S.A.,HOLLEY SKOOL,21,130689,10/09/2017,,
630,SAGA FALABELLA S.A.,HOLLEY SKOOL,18,130262,21/08/2017,,
631,SAGA FALABELLA S.A.,HOLLEY SKOOL,16,130690,10/09/2017,,
632,SAGA FALABELLA S.A.,HOLLEY SKOOL,8,130263,21/08/2017,,
633,SAGA FALABELLA S.A.,HAUS,20,91054,19/08/2023,,
634,SAGA FALABELLA S.A.,HAUS,27,91053,19/08/2023,,
635,SAGA FALABELLA S.A.,HAUS,24,91052,19/08/2023,,
636,SAGA FALABELLA S.A.,HAUS,21,91051,19/08/2023,,
637,SAGA FALABELLA S.A.,HAUS,28,91055,19/08/2023,,
638,SAGA FALABELLA S.A.,HOME STORE,11,81674,12/07/2022,,
639,SAGA FALABELLA S.A.,HOME STORE,9,81673,12/07/2022,,
640,SAGA FALABELLA S.A.,HOME STORE,19,82506,16/08/2022,,
641,SAGA FALABELLA S.A.,HOME STORE,20,81675,12/07/2022,,
642,SAGA FALABELLA S.A.,HOME STORE,22,82210,05/08/2022,,
643,SAGA FALABELLA S.A.,HOME STORE,27,82507,16/08/2022,,
644,SAGA FALABELLA S.A.,HOME STORE,8,83837,14/10/2022,,
645,SAGA FALABELLA S.A.,HOME STORE,7,83838,14/10/2022,,
646,SAGA FALABELLA S.A.,HOME STORE,6,85123,29/11/2022,,
647,SAGA FALABELLA S.A.,HOME STORE,16,83839,14/10/2022,,
648,SAGA FALABELLA S.A.,HOME STORE,31,83840,15/10/2022,,
649,SAGA FALABELLA S.A.,HOT FALABELLA,35,68825,24/10/2021,,
650,SAGA FALABELLA S.A.,JUGUETILANDIA,28,168698,05/10/2020,,
651,SAGA FALABELLA S.A.,LAURA PARKER,25,82278,28/06/2022,,
652,SAGA FALABELLA S.A.,LIQUIDACIÓN DE CALIDAD FALABELLA,35,68785,21/10/2021,,
653,SAGA FALABELLA S.A.,,36,23765,22/09/2020,,
654,SAGA FALABELLA S.A.,LIVE THE PRESENT DOO AUSTRALIA,25,174011,15/03/2021,,
655,SAGA FALABELLA S.A.,LOUNGE,18,115104,09/05/2016,,
656,SAGA FALABELLA S.A.,LOUNGE,25,115105,09/05/2016,,
657,SAGA FALABELLA S.A.,MALABAR,20,69796,27/02/2021,,
658,SAGA FALABELLA S.A.,,3,114854,05/05/2016,,
659,SAGA FALABELLA S.A.,,33,114840,05/05/2016,,
660,SAGA FALABELLA S.A.,,28,114841,05/05/2016,,
661,SAGA FALABELLA S.A.,,26,116508,20/06/2016,,
662,SAGA FALABELLA S.A.,,27,114842,05/05/2016,,
663,SAGA FALABELLA S.A.,,21,115351,18/05/2016,,
664,SAGA FALABELLA S.A.,,22,116509,20/06/2016,,
665,SAGA FALABELLA S.A.,,24,114843,05/05/2016,,
666,SAGA FALABELLA S.A.,,25,114844,05/05/2016,,
667,SAGA FALABELLA S.A.,,8,114845,05/05/2016,,
668,SAGA FALABELLA S.A.,,9,114846,05/05/2016,,
669,SAGA FALABELLA S.A.,,11,114847,05/05/2016,,
670,SAGA FALABELLA S.A.,,12,114848,05/05/2016,,
671,SAGA FALABELLA S.A.,,14,114849,05/05/2016,,
672,SAGA FALABELLA S.A.,,15,114850,05/05/2016,,
673,SAGA FALABELLA S.A.,,16,114851,05/05/2016,,
674,SAGA FALABELLA S.A.,,18,114852,05/05/2016,,
675,SAGA FALABELLA S.A.,,20,114853,05/05/2016,,
676,SAGA FALABELLA S.A.,,3,115215,12/05/2016,,
677,SAGA FALABELLA S.A.,,8,115216,12/05/2016,,
678,SAGA FALABELLA S.A.,,9,115217,12/05/2016,,
679,SAGA FALABELLA S.A.,,11,115571,23/05/2016,,
680,SAGA FALABELLA S.A.,,12,115572,23/05/2016,,
681,SAGA FALABELLA S.A.,,14,115573,23/05/2016,,
682,SAGA FALABELLA S.A.,,15,115574,23/05/2016,,
683,SAGA FALABELLA S.A.,,16,115575,23/05/2016,,
684,SAGA FALABELLA S.A.,,18,115576,23/05/2016,,
685,SAGA FALABELLA S.A.,,20,115577,23/05/2016,,
686,SAGA FALABELLA S.A.,,21,115704,25/05/2016,,
687,SAGA FALABELLA S.A.,,22,117486,24/07/2016,,
688,SAGA FALABELLA S.A.,,24,115578,23/05/2016,,
689,SAGA FALABELLA S.A.,,25,115705,26/05/2016,,
690,SAGA FALABELLA S.A.,,26,117487,24/07/2016,,
691,SAGA FALABELLA S.A.,,27,115579,02/05/2016,,
692,SAGA FALABELLA S.A.,,28,115580,23/05/2016,,
693,SAGA FALABELLA S.A.,,33,115706,25/05/2016,,
694,SAGA FALABELLA S.A.,,33,115581,23/05/2016,,
695,SAGA FALABELLA S.A.,,28,115582,23/05/2016,,
696,SAGA FALABELLA S.A.,,27,115707,25/05/2016,,
697,SAGA FALABELLA S.A.,,26,117488,24/07/2016,,
698,SAGA FALABELLA S.A.,,25,115583,23/05/2016,,
699,SAGA FALABELLA S.A.,,24,115708,25/05/2016,,
700,SAGA FALABELLA S.A.,,22,117489,24/07/2016,,
701,SAGA FALABELLA S.A.,,21,115584,23/05/2016,,
702,SAGA FALABELLA S.A.,,20,115585,23/05/2016,,
703,SAGA FALABELLA S.A.,,18,115586,23/05/2016,,
704,SAGA FALABELLA S.A.,,16,115587,23/05/2016,,
705,SAGA FALABELLA S.A.,,15,115588,23/05/2016,,
706,SAGA FALABELLA S.A.,,14,115709,25/05/2016,,
707,SAGA FALABELLA S.A.,,12,115710,25/05/2016,,
708,SAGA FALABELLA S.A.,,11,115589,23/05/2016,,
709,SAGA FALABELLA S.A.,,9,115590,23/05/2016,,
710,SAGA FALABELLA S.A.,,8,115591,23/05/2016,,
711,SAGA FALABELLA S.A.,,3,115592,23/05/2016,,
712,SAGA FALABELLA S.A.,MAGIC BODY BUILDING,28,180622,11/10/2021,,
713,SAGA FALABELLA S.A.,,28,180418,06/10/2021,,
714,SAGA FALABELLA S.A.,METAL SERIES,28,177351,08/07/2021,,
715,SAGA FALABELLA S.A.,,21,95028,17/02/2024,,
716,SAGA FALABELLA S.A.,,27,93138,13/11/2023,,
717,SAGA FALABELLA S.A.,,24,93137,13/11/2023,,
718,SAGA FALABELLA S.A.,,8,93136,13/11/2023,,
719,SAGA FALABELLA S.A.,,20,93135,13/11/2023,,
720,SAGA FALABELLA S.A.,,11,93134,13/11/2023,,
721,SAGA FALABELLA S.A.,,9,93133,13/11/2023,,
722,SAGA FALABELLA S.A.,,20,113438,15/03/2016,,
723,SAGA FALABELLA S.A.,,24,118027,07/08/2016,,
724,SAGA FALABELLA S.A.,,25,118462,28/06/2016,,
725,SAGA FALABELLA S.A.,,27,118298,15/08/2016,,
726,SAGA FALABELLA S.A.,,18,118461,28/06/2016,,
727,SAGA FALABELLA S.A.,,11,113069,03/03/2016,,
728,SAGA FALABELLA S.A.,,8,113068,03/03/2016,,
729,SAGA FALABELLA S.A.,,6,113067,03/03/2016,,
730,SAGA FALABELLA S.A.,,28,113071,03/03/2016,,
731,SAGA FALABELLA S.A.,,16,172247,11/11/2020,,
732,SAGA FALABELLA S.A.,,21,135771,28/02/2018,,
733,SAGA FALABELLA S.A.,,8,135772,28/02/2018,,
734,SAGA FALABELLA S.A.,,24,135566,28/02/2018,,
735,SAGA FALABELLA S.A.,,"21, 24",8610,01/08/2024,,
736,SAGA FALABELLA S.A.,,24,216981,16/10/2024,,
737,SAGA FALABELLA S.A.,MICROTECH,9,68250,29/09/2019,,
738,SAGA FALABELLA S.A.,MITE SKATEBOARDS,28,180527,07/10/2021,,
739,SAGA FALABELLA S.A.,MOUNTAIN GEAR,22,68411,28/12/2020,,
740,SAGA FALABELLA S.A.,MOUNTAIN GEAR,20,68401,27/12/2020,,
741,SAGA FALABELLA S.A.,MOUNTAIN GEAR,12,68402,27/12/2020,,
742,SAGA FALABELLA S.A.,MOUNTAIN GEAR,18,68412,28/12/2020,,
743,SAGA FALABELLA S.A.,MUNDO DIGITAL SAGA FALABELLA,9,135184,13/02/2018,,
744,SAGA FALABELLA S.A.,MUNDO DIGITAL SAGA FALABELLA,11,132040,31/10/2017,,
745,SAGA FALABELLA S.A.,NAVIDAD FELIZ PARA TODOS FALABELLA,35,68594,05/10/2021,,
746,SAGA FALABELLA S.A.,NEWPORT,25,96713,29/04/2024,,
747,SAGA FALABELLA S.A.,NEWPORT,"3, 14, 18",10096,02/03/2025,,
748,SAGA FALABELLA S.A.,,35,55837,13/04/2019,,
749,SAGA FALABELLA S.A.,OFERTAHORROS DECO FALABELLA,35,68595,05/10/2021,,
750,SAGA FALABELLA S.A.,ORIGEN,18,117841,03/08/2016,,
751,SAGA FALABELLA S.A.,ORIGEN,20,114830,05/05/2016,,
752,SAGA FALABELLA S.A.,ORIGEN,27,117842,03/08/2016,,
753,SAGA FALABELLA S.A.,,18,118319,14/08/2016,,
754,SAGA FALABELLA S.A.,,20,118320,14/08/2016,,
755,SAGA FALABELLA S.A.,,27,118321,14/08/2016,,
756,SAGA FALABELLA S.A.,,21,171744,04/10/2020,,
757,SAGA FALABELLA S.A.,,12,48404,31/08/2018,,
758,SAGA FALABELLA S.A.,,27,173257,24/02/2021,,
759,SAGA FALABELLA S.A.,,28,173383,01/03/2021,,
760,SAGA FALABELLA S.A.,,22,173767,07/03/2021,,
761,SAGA FALABELLA S.A.,,27,173257,24/02/2021,,
762,SAGA FALABELLA S.A.,,28,173383,01/03/2021,,
763,SAGA FALABELLA S.A.,,11,89816,30/06/2023,,
764,SAGA FALABELLA S.A.,,9,89815,30/06/2023,,
765,SAGA FALABELLA S.A.,,27,89847,30/06/2023,,
766,SAGA FALABELLA S.A.,,25,89846,30/06/2023,,
767,SAGA FALABELLA S.A.,,21,89845,30/06/2023,,
768,SAGA FALABELLA S.A.,,20,89844,30/06/2023,,
769,SAGA FALABELLA S.A.,PREMAMAN,25,78902,13/03/2022,,
770,SAGA FALABELLA S.A.,PRIME (DIGITAL) FALABELLA,35,70112,17/01/2022,,
771,SAGA FALABELLA S.A.,,42,55863,15/04/2019,,
772,SAGA FALABELLA S.A.,,41,55862,15/04/2019,,
773,SAGA FALABELLA S.A.,,35,55861,15/04/2019,,
774,SAGA FALABELLA S.A.,,25,150688,13/04/2019,,
775,SAGA FALABELLA S.A.,,38,55860,15/04/2019,,
776,SAGA FALABELLA S.A.,,9,151293,23/04/2019,,
777,SAGA FALABELLA S.A.,,16,150790,15/04/2019,,
778,SAGA FALABELLA S.A.,REBAJAS SOBRE REBAJAS FALABELLA,35,68784,21/10/2021,,
779,SAGA FALABELLA S.A.,RECO,9,65409,14/08/2020,,
780,SAGA FALABELLA S.A.,RECCO,7,126889,03/05/2017,,
781,SAGA FALABELLA S.A.,,"07, 09",9547,27/07/2024,,
782,SAGA FALABELLA S.A.,,"07, 09",105239,04/05/2025,,
783,SAGA FALABELLA S.A.,REMATE TOTAL SAGA FALABELLA,25,78228,07/02/2022,,
784,SAGA FALABELLA S.A.,,9,139955,24/06/2018,,
785,SAGA FALABELLA S.A.,,11,132558,14/11/2017,,
786,SAGA FALABELLA S.A.,SAGA FALABELLA,9,73348,24/07/2021,,
787,SAGA FALABELLA S.A.,,33,67735,21/11/2020,,
788,SAGA FALABELLA S.A.,,30,67736,21/11/2020,,
789,SAGA FALABELLA S.A.,,28,70902,17/04/2021,,
790,SAGA FALABELLA S.A.,,"16, 28",3825,17/04/2021,,
791,SAGA FALABELLA S.A.,,11,68115,30/11/2020,,
792,SAGA FALABELLA S.A.,,27,78799,11/03/2022,,
793,SAGA FALABELLA S.A.,,25,70903,17/04/2021,,
794,SAGA FALABELLA S.A.,,24,78800,11/03/2022,,
795,SAGA FALABELLA S.A.,,20,78801,11/03/2022,,
796,SAGA FALABELLA S.A.,,12,70906,17/04/2021,,
797,SAGA FALABELLA S.A.,,9,78802,12/03/2022,,
798,SAGA FALABELLA S.A.,,7,74171,20/08/2021,,
799,SAGA FALABELLA S.A.,,3,78803,11/03/2022,,
800,SAGA FALABELLA S.A.,,21,78535,22/02/2022,,
801,SAGA FALABELLA S.A.,,18,70904,17/04/2021,,
802,SAGA FALABELLA S.A.,,39,23714,21/11/2020,,
803,SAGA FALABELLA S.A.,,21,123073,20/11/2016,,
804,SAGA FALABELLA S.A.,,18,123074,20/11/2016,,
805,SAGA FALABELLA S.A.,,24,123075,20/11/2016,,
806,SAGA FALABELLA S.A.,,14,130434,01/08/2017,,
807,SAGA FALABELLA S.A.,,3,130433,01/08/2017,,
808,SAGA FALABELLA S.A.,,25,117779,02/06/2016,,
809,SAGA FALABELLA S.A.,,28,131351,01/08/2017,,
810,SAGA FALABELLA S.A.,,30,131352,01/08/2017,,
811,SAGA FALABELLA S.A.,,32,123078,30/11//2016,,
812,SAGA FALABELLA S.A.,,33,131353,01/08/2017,,
813,SAGA FALABELLA S.A.,,35,47672,01/08/2017,,
814,SAGA FALABELLA S.A.,,9,129388,31/07/2017,,
815,SAGA FALABELLA S.A.,,8,129389,31/07/2017,,
816,SAGA FALABELLA S.A.,,11,129390,31/07/2017,,
817,SAGA FALABELLA S.A.,,12,129391,31/07/2017,,
818,SAGA FALABELLA S.A.,,27,129392,31/07/2017,,
819,SAGA FALABELLA S.A.,,28,129393,31/07/2017,,
820,SAGA FALABELLA S.A.,,33,129394,31/07/2017,,
821,SAGA FALABELLA S.A.,,43,46884,31/07/2017,,
822,SAGA FALABELLA S.A.,,21,129395,31/07/2017,,
823,SAGA FALABELLA S.A.,,22,129396,31/07/2017,,
824,SAGA FALABELLA S.A.,,3,129387,31/07/2017,,
825,SAGA FALABELLA S.A.,,24,129397,31/07/2017,,
826,SAGA FALABELLA S.A.,,25,129398,31/07/2017,,
827,SAGA FALABELLA S.A.,,26,129399,31/07/2017,,
828,SAGA FALABELLA S.A.,,15,129400,31/07/2017,,
829,SAGA FALABELLA S.A.,,16,129401,31/07/2017,,
830,SAGA FALABELLA S.A.,,20,129402,31/07/2017,,
831,SAGA FALABELLA S.A.,,20,12867,27/01/2025,,
832,SAGA FALABELLA S.A.,,27,12866,27/01/2025,,
833,SAGA FALABELLA S.A.,,25,137642,24/04/2018,,
834,SAGA FALABELLA S.A.,SEMANA DE LA BELLEZA FALABELLA,35,68597,05/10/2021,,
835,SAGA FALABELLA S.A.,,35,55896,16/04/2019,,
836,SAGA FALABELLA S.A.,SYBILLA,3,62655,07/04/2020,,
837,SAGA FALABELLA S.A.,,18,129601,03/08/2017,,
838,SAGA FALABELLA S.A.,,3,129600,31/08/2017,,
839,SAGA FALABELLA S.A.,,25,133491,12/12/2017,,
840,SAGA FALABELLA S.A.,,25,116742,28/06/2016,,
841,SAGA FALABELLA S.A.,,3,116024,06/06/2016,,
842,SAGA FALABELLA S.A.,,18,116025,06/06/2016,,
843,SAGA FALABELLA S.A.,TREND BY SYBILLA,18,116623,26/06/2016,,
844,SAGA FALABELLA S.A.,TROPIBURGER,43,27381,24/08/2021,,
845,SAGA FALABELLA S.A.,UOMO PIU,25,107702,04/08/2015,,
846,SAGA FALABELLA S.A.,,25,140229,05/06/2018,,
847,SAGA FALABELLA S.A.,,25,125381,08/03/2017,,
848,SAGA FALABELLA S.A.,UNIVERSITY CLUB,"3, 14",588948-2014,,,
849,SAGA FALABELLA S.A.,UNIVERSITY CLUB,18,588948A-2014,,,
850,SAGA FALABELLA S.A.,VENTA FINAL FALABELLA,35,68600,05/10/2021,,
851,SAGA FALABELLA S.A.,VIAJES SAGA FALABELLA,25,68218,30/11/2020,,
852,SAGA FALABELLA S.A.,,35,23713,21/11/2020,,
853,SAGA FALABELLA S.A.,,18,126387,18/04/2017,,
854,SAGA FALABELLA S.A.,,24,116737,28/06/2016,,
855,SAGA FALABELLA S.A.,,25,116738,28/06/2016,,
856,SAGA FALABELLA S.A.,,25,146764,31/12/2018,,
857,SAGA FALABELLA S.A.,YAMP BY SAGA,25,50086,04/11/2018,,
858,SAGA FALABELLA S.A.,YAMP,"03, 14, 20",9970,12/02/2025,,
859,SAGA FALABELLA S.A.,,25,108186,05/07/2015,,
860,SAGA FALABELLA S.A.,,25,152995,26/05/2019,,
861,SAGA FALABELLA S.A.,,25,152200,13/05/2019,,
862,SAGA FALABELLA S.A.,,25,104949,26/04/2015,,
863,SAGA FALABELLA S.A.,,8,121571,16/11/2016,,
864,SAGA FALABELLA S.A.,,11,121572,16/11/2016,,
865,SAGA FALABELLA S.A.,,7,121749,22/11/2016,,
866,SAGA FALABELLA S.A.,,9,121798,23/11/2016,,
867,SAGA FALABELLA S.A.,,25,123834,25/01/2017,,
868,SAGA FALABELLA S.A.,TORKE,12,96278,15/04/2014,,Transferida
869,SAGA FALABELLA S.A.,,3,687,23/02/2020,,
870,SAGA FALABELLA S.A.,,10,687,23/02/2020,,
871,SAGA FALABELLA S.A.,,12,687,23/02/2020,,
872,SAGA FALABELLA S.A.,,16,687,23/02/2020,,
873,SAGA FALABELLA S.A.,,18,687,23/02/2020,,
874,SAGA FALABELLA S.A.,,24,687,23/02/2020,,
875,SAGA FALABELLA S.A.,,25,687,23/02/2020,,
876,SAGA FALABELLA S.A.,,28,687,23/02/2020,,
877,SAGA FALABELLA S.A.,,18,745,04/03/2020,,
878,SAGA FALABELLA S.A.,,24,745,04/03/2020,,
879,SAGA FALABELLA S.A.,,25,745,04/03/2020,,
880,SAGA FALABELLA S.A.,ZAPATILLAS DE CULTO FALABELLA,35,68596,24/06/2021,,
881,SAGA FALABELLA S.A.,,25,182867,19/12/2021,,
882,SAGA FALABELLA S.A.,ORIGEN,24,181351,25/05/2021,,
883,SAGA FALABELLA S.A.,ORIGEN,21,156996,18/06/2019,,
884,SAGA FALABELLA S.A.,,24,207112,13/12/2023,,
885,SAGA FALABELLA S.A.,,25,177028,24/06/2021,,
886,SAGA FALABELLA S.A.,,28,176974,24/06/2021,,
887,SAGA FALABELLA S.A.,DIAS F FALABELLA,35,70433,21/02/2022,,
888,SAGA FALABELLA S.A.,,25,188224,29/05/2022,,
889,SAGA FALABELLA S.A.,,43,5284,05/04/2022,,
890,SAGA FALABELLA S.A.,,44,5284,05/04/2022,,
891,SAGA FALABELLA S.A.,,35,6171,10/06/2023,,
892,SAGA FALABELLA S.A.,,37,6171,10/06/2023,,
893,SAGA FALABELLA S.A.,,9,203001,19/09/2023,,
894,SAGA FALABELLA S.A.,,12,3393,03/11/2021,,
895,SAGA FALABELLA S.A.,,28,3393,03/11/2021,,
896,SAGA FALABELLA S.A.,,25,18837,04/05/2022,,
897,SAGA FALABELLA S.A.,MOUNTAIN GEAR,21,210581,05/05/2024,,
898,SAGA FALABELLA S.A.,,25,208903,21/03/2024,,
899,SAGA FALABELLA S.A.,SURFLEX,14 y 25,9486,10/10/2024,,
900,SAGA FALABELLA S.A.,SAGA FALABELLA,3,202327,05/09/2023,,
901,SAGA FALABELLA S.A.,125 AÑOS CONTIGO PARA SIEMPRE FALABELLA,"16, 35, 36, 41",10236,23/03/2025,,
902,SAGA FALABELLA S.A.,SYBMOJI,"16, 18, 25, 42",10544,08/05/2025,,
903,SAGA FALABELLA S.A.,FALAMOJI,"16, 18, 25, 42",10545,08/05/2025,,
904,SAGA FALABELLA S.A.,,"7, 8, 14, 18, 20, 21, 24, 26, 27, 28",10152,09/03/2025,,
905,SAGA FALABELLA S.A.,PARTY ANIMALS,"9, 28",10336,08/04/2025,,
906,SAGA FALABELLA S.A.,UNIVERSITY CLUB,"3, 14",588948-2014,,,
907,SAGA FALABELLA S.A.,UNIVERSITY CLUB,18,588948A-2014,,,
908,SAGA FALABELLA S.A.,MCA,24,219604,30/12/2024,,
909,SAGA FALABELLA S.A.,NUTRISHAKE,7,217291,31/10/2024,,
910,SAGA FALABELLA S.A.,APOLOGY,"03, 14, 18",9972,12/02/2025,,
911,SAGA FALABELLA S.A.,NEWBOAT,3,588957-2014,,En trámite,
912,SAGA FALABELLA S.A.,HOLLEY,"14, 18, 25",588951-2014,,En trámite,Por emitir certificado
913,SAGA FALABELLA S.A.,,"04, 08, 09, 11, 16, 20, 21, 24, 25, 26, 27, 28",11503,28/11/2014,,
914,SAGA FALABELLA S.A.,SAGA FALABELLA,16,228932,01/09/2025,,
915,SAGA FALABELLA S.A.,,"3, 14, 16, 18, 25, 35, 38",638969-2015,,En trámite,
916,SAGA FALABELLA S.A.,,35,651896-2016,,En trámite,
917,SAGA FALABELLA S.A.,,35,651897-2016,,En trámite,
918,SAGA FALABELLA S.A.,,25,5309,15/01/2024,,LICENCIA EXCLUSIVA
919,SAGA FALABELLA S.A.,,14,5308,14/01/2024,,LICENCIA EXCLUSIVA
920,SAGA FALABELLA S.A.,,25,197361,28/03/2022,,LICENCIA EXCLUSIVA
921,SAGA FALABELLA S.A.,,18,203107,23/09/2023,,LICENCIA EXCLUSIVA
