ID,CODCLI,CODTIT,NOMCLI,NOMTIT,MARCA,ARCHIVO,MOTIVO,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,VIGENCIA,OBSERVACIONES,EXPEDIENTE
1,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360°,,,360°,25,91130,22.08.2023 ,22.08.2023 ,,
2,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,DULCE VIÑEDO,,,DULCE VIÑEDO,33,108810,14.09.2025,14.09.2025,,
3,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,25,114959,31.03.2026,31.03.2026,,
4,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,11,107755,05.08.2025,05.08.2025,,
5,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,18,107854,09.08.2025,09.08.2025,,
6,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,22,107756,05.08.2025,05.08.2025,,
7,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,BABY CAT,,,BABY CAT,25,107852,09.08.2025,09.08.2025,,
8,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,BABY CAT,,,BABY CAT,28,107853,09.08.2025,09.08.2025,,
9,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240792.JPG,240792.JPG,,,3,240792,29.08.2026,29.08.2026,,
10,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240793.JPG,240793.JPG,,,3,240793,29.08.2026,29.08.2026,,
11,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240794.JPG,240794.JPG,,,3,240794,29.08.2026,29.08.2026,,
12,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240774.JPG,240774.JPG,,,3,240774,26.08.2026,26.08.2026,,
13,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240795.JPG,240795.JPG,,,3,240795,29.08.2026,29.08.2026,,
14,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108523.JPG,108523.JPG,,,3,108523,1.09.2025,1.09.2025,,
15,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108525.JPG,108525.JPG,,,16,108525,1.09.2025,1.09.2025,,
16,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108526.JPG,108526.JPG,,,21,108526,1.09.2025,1.09.2025,,
17,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108524.JPG,108524.JPG,,,29,108524,1.09.2025,1.09.2025,,
18,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108527.JPG,108527.JPG,,,30,108527,1.09.2025,1.09.2025,,
19,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º BIKES,,,360º BIKES,12,121465,10.10.2016,10.10.2016,,
20,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º REFLEX,,,360º REFLEX,25,114958,31.03.2026,31.03.2026,,
21,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,227634.JPG,227634.JPG,,,18,227634,23.01.2025,23.01.2025,,
22,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123091.JPG,123091.JPG,,,21,123091,22.11.2016,22.11.2016,,
23,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123090.JPG,123090.JPG,,,22,123090,22.11.2016,22.11.2016,,
24,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123094.JPG,123094.JPG,,,11,123094,22.11.2016,22.11.2016,,
25,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123092.JPG,123092.JPG,,,19,123092,22.11.2016,22.11.2016,,
26,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123093.JPG,123093.JPG,,,17,123093,22.11.2016,22.11.2016,,
27,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123095.JPG,123095.JPG,,,8,123095,22.11.2016,22.11.2016,,
28,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123097.JPG,123097.JPG,,,5,123097,22.11.2016,22.11.2016,,
29,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123096.JPG,123096.JPG,,,6,123096,22.11.2016,22.11.2016,,
30,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123089.JPG,123089.JPG,,,34,123089,22.11.2016,22.11.2016,,
31,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123088.JPG,123088.JPG,,,4,123088,22.11.2016,22.11.2016,,
32,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123087.JPG,123087.JPG,,,2,123087,22.11.2016,22.11.2016,,
33,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,128568.JPG,128568.JPG,,,3,128568,27.06.2017,27.06.2017,,
34,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,116730.JPG,116730.JPG,,,29,116730,28.06.2016,28.06.2016,,
35,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,116580.JPG,116580.JPG,,,30,116580,26.06.2016,26.06.2016,,
36,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126966.JPG,126966.JPG,,,2,126966,07.05.2017,07.05.2017,,
37,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127195.JPG,127195.JPG,,,3,127195,14.05.2017,14.05.2017,,
38,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126970.JPG,126970.JPG,,,8,126970,07.05.2017,07.05.2017,,
39,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126969.JPG,126969.JPG,,,6,126969,07.05.2017,07.05.2017,,
40,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126968.JPG,126968.JPG,,,5,126968,07.05.2017,07.05.2017,,
41,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126967.JPG,126967.JPG,,,4,126967,07.05.2017,07.05.2017,,
42,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126972.JPG,126972.JPG,,,14,126972,07.05.2017,07.05.2017,,
43,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127110.JPG,127110.JPG,,,12,127110,10.05.2017,10.05.2017,,
44,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126971.JPG,126971.JPG,,,11,126971,07.05.2017,07.05.2017,,
45,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127196.JPG,127196.JPG,,,9,127196,14.05.2017,14.05.2017,,
46,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126975.JPG,126975.JPG,,,18,126975,07.05.2017,07.05.2017,,
47,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126974.JPG,126974.JPG,,,17,126974,07.05.2017,07.05.2017,,
48,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126973.JPG,126973.JPG,,,16,126973,07.05.2017,07.05.2017,,
49,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127198.JPG,127198.JPG,,,25,127198,14.05.2017,14.05.2017,,
50,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127197.JPG,127197.JPG,,,24,127197,14.05.2017,14.05.2017,,
51,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126979.JPG,126979.JPG,,,22,126979,07.05.2017,07.05.2017,,
52,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126978.JPG,126978.JPG,,,21,126978,07.05.2017,07.05.2017,,
53,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126977.JPG,126977.JPG,,,20,126977,07.05.2017,07.05.2017,,
54,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126976.JPG,126976.JPG,,,19,126976,07.05.2017,07.05.2017,,
55,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127112.JPG,127112.JPG,,,30,127112,10.05.2017,10.05.2017,,
56,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127111.JPG,127111.JPG,,,29,127111,11.05.2017,11.05.2017,,
57,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126980.JPG,126980.JPG,,,28,126980,04.05.2017,04.05.2017,,
58,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127200.JPG,127200.JPG,,,27,127200,14.05.2017,14.05.2017,,
59,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127199.JPG,127199.JPG,,,26,127199,14.05.2017,14.05.2017,,
60,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46087.JPG,46087.JPG,,,43,46087,07.05.2017,07.05.2017,,
61,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46086.JPG,46086.JPG,,,39,46086,07.05.2017,07.05.2017,,
62,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46085.JPG,46085.JPG,,,38,46085,07.05.2017,07.05.2017,,
63,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46084.JPG,46084.JPG,,,36,46084,07.05.2017,07.05.2017,,
64,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46083.JPG,46083.JPG,,,35,46083,07.05.2017,07.05.2017,,
65,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126981.JPG,126981.JPG,,,34,126981,07.05.2017,07.05.2017,,
66,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127115.JPG,127115.JPG,,,33,127115,10.05.2017,10.05.2017,,
67,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127114.JPG,127114.JPG,,,32,127114,10.05.2017,10.05.2017,,
68,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127113.JPG,127113.JPG,,,31,127113,10.05.2017,10.05.2017,,
69,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152814.JPG,152814.JPG,,,29,152814,22.05.2019,22.05.2019,,
70,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152815.JPG,152815.JPG,,,30,152815,22.05.2019,22.05.2019,,
71,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152816.JPG,152816.JPG,,,31,152816,22.05.2019,22.05.2019,,
72,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152817.JPG,152817.JPG,,,32,152817,22.05.2019,22.05.2019,,
73,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152818.JPG,152818.JPG,,,33,152818,22.05.2019,22.05.2019,,
74,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152819.JPG,152819.JPG,,,29,152819,22.05.2019,22.05.2019,,
75,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,154554.JPG,154554.JPG,,,30,154554,30.06.2019,30.06.2019,,
76,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152820.JPG,152820.JPG,,,31,152820,22.05.2019,22.05.2019,,
77,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152821.JPG,152821.JPG,,,32,152821,22.05.2019,22.05.2019,,
78,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152822.JPG,152822.JPG,,,33,152822,22.05.2019,22.05.2019,,
79,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,72.JPG,72.JPG,,,"29, 30, 31, 32 y 33",72,14.07.2019,14.07.2019,,
80,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,167158.JPG,167158.JPG,,,30,167158,18.08.2020,18.08.2020,,
81,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,162434.JPG,162434.JPG,,,32,162434,22.03.2020,22.03.2020,,
82,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,1180.JPG,1180.JPG,,,"16,29 y 30",1180,06.07.2020,06.07.2020,,
83,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,188366.JPG,188366.JPG,,,5,188366,05.06.2022,05.06.2022,,
84,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,SUEÑOS DE BEBÉ,,,SUEÑOS DE BEBÉ,21,166070,16.07.2020,16.07.2020,,
85,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,SUEÑOS DE BEBÉ,,,SUEÑOS DE BEBÉ,3,166069,16.07.2020,16.07.2020,,
86,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,SUEÑOS DE BEBÉ,,,SUEÑOS DE BEBÉ,5,165801,09.07.2020,09.07.2020,,
87,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,166824.JPG,166824.JPG,,,30,166824,11.08.2020,11.08.2020,,
88,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,183146.JPG,183146.JPG,,,30,183146,28.12.2021,28.12.2021,,
89,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,LA PANADERÍA TOTTUS,,,LA PANADERÍA TOTTUS,30,182440,09.12.2021,09.12.2021,,
90,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,AUTODELI,,,AUTODELI,31,174217,22.03.2021,22.03.2021,,
91,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,AUTODELI,,,AUTODELI,30,174634,05.04.2021,05.04.2021,,
92,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,186206.JPG,186206.JPG,,,31,186206,17.02.2022,17.02.2022,,
93,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,190021.JPG,190021.JPG,,,32,190021,26.07.2022,26.07.2022,,
94,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,187482.JPG,187482.JPG,,,32,187482,04.05.2022,04.05.2022,,
95,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,189691.JPG,189691.JPG,,,3,189691,16.07.2022,16.07.2022,,
96,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,HAPPY HOUR,,,HAPPY HOUR,"32, 33 y 35",4602,09.07.2022,09.07.2022,,
97,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,EL MAÑANERO,,,EL MAÑANERO,29 y 31,4601,09.07.2022,09.07.2022,,
98,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,4371.JPG,4371.JPG,,,"29, 30, 31, 32, 33, 35",4371,30.05.2022,30.05.2022,,
99,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,189824.JPG,189824.JPG,,,3,189824,20.07.2022,20.07.2022,,
100,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,5763.JPG,5763.JPG,,,"02, 04, 05, 06, 08, 09, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 42, 43",5763,19.03.2023,19.03.2023,,
101,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,5889.JPG,5889.JPG,,,"05, 29, 30, 32",5889,11.04.2023,11.04.2023,,
102,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6329.JPG,6329.JPG,,,"03, 16",6329,11.07.2023,11.07.2023,,
103,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6352.JPG,6352.JPG,,,"05, 29, 30, 32",6352,19.07.2023,19.07.2023,,
104,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6353.JPG,6353.JPG,,,"05, 29, 30, 32",6353,19.07.2023,19.07.2023,,
105,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,NUTACREAM TOTTUS,,,NUTACREAM TOTTUS,30,201271,07.08.2023,07.08.2023,,
106,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6560.JPG,6560.JPG,,,"05, 29, 30, 31, 32, 33",6560,02.09.2023,02.09.2023,,
107,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,78550.JPG,78550.JPG,,,43,78550,27.09.2023,27.09.2023,,
108,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,8826.JPG,8826.JPG,,,"02, 03, 04, 06, 08, 09, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 43",8826,01.09.2024,01.09.2024,,
109,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,226984.JPG,226984.JPG,,,29,226984,09.07.2025,09.07.2025,,
110,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,11137.JPG,11137.JPG,,,"11, 20, 24, 25, 27",11137,03.07.2025,03.07.2025,,
111,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,"TOTTUS, QUE RICO ES CRECER SANO",,,"TOTTUS, QUE RICO ES CRECER SANO","16, 29, 30, 35",10561,13.05.2025,13.05.2025,,
112,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,11391.JPG,11391.JPG,,,"07,08,09,11",11391,14.10.2024,14.10.2024,,
113,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,TORKE,,,TORKE,6,209688,15.04.2024,15.04.2024,,
114,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,TORKE,,,TORKE,12,96278,15.04.2024,15.04.2024,Transferida por Saga Falabella,
115,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,590290.JPG,590290.JPG,,,"02, 03, 04, 05, 06, 09, 11, 14, 16, 19, 20, 21, 22, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 38, 39, 43",590290,12.06.2025,12.06.2025,Pendiente de emisión (Exp. 590290-2014) , 590290-2014 
116,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,239924.JPG,239924.JPG,,,25,239924,12.06.2025,12.06.2025,,
117,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,590290.JPG,590290.JPG,,,42,590290,12.06.2025,12.06.2025,Pendiente de emisión (Exp.590290-2014),590290-2014
118,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,9480.JPG,9480.JPG,,,"3, 5, 16, 21, 29, 30",9480,05.07.2023,05.07.2023,,
119,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,580740.JPG,580740.JPG,,,"02, 04, 06, 09, 11, 14, 19, 20, 22, 24, 26, 27, 31, 32, 33, 34, 35, 38, 39, 43",580740,18.03.2025.,18.03.2025.,Pendiente de emisión (Exp. 580740-2014), 580740-2014
120,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,580739.JPG,580739.JPG,,,"02, 04, 06, 09, 11, 14, 19, 20, 22, 24, 26, 27, 31, 32, 33, 34, 35, 38, 39, 43",580739,18.03.2025.,18.03.2025.,"Pendiente de emisión (Exp. 580739-2014)
"," 580739-2014
"
121,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,579715.JPG,579715.JPG,,,"02, 03, 04, 05, 06, 09, 11, 14, 16, 19, 20, 21, 22, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 38, 39,   43",579715,18.03.2025.,18.03.2025.,Pendiente de emisión (Exp. 579715-2014), 579715-2014
122,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,580741.JPG,580741.JPG,,,"02, 03, 04, 05, 06, 09, 11, 14, 19, 20, 21, 22, 24, 26, 27, 31, 32, 33, 34, 35, 38, 39, 43",580741,12.06.2025,12.06.2025,"Pendiente de emisión (Exp. 580741-2014)
"," 580741-2014
"
123,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,590291.JPG,590291.JPG,,,"02, 03, 04, 05, 06, 09, 11, 14, 16, 19, 20, 21, 22, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 38, 39, 43",590291,12.06.2025,12.06.2025,Pendiente de emisión (Exp. 590291-2014), 590291-2014
124,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,239932.JPG,239932.JPG,,,25,239932,12.06.2025,12.06.2025,,
125,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,590292.JPG,590292.JPG,,,"02, 03, 04, 05, 06, 09, 11, 14, 16, 19, 20, 21, 22, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 38, 39, 43",590292,12.06.2025,12.06.2025,Pendiente de emisión (Exp. 590292-2014), 590292-2014
